VERB,DIR,GOAL,FIN,INF,PART,GERUND,IMPER,A1.anim,A2.anim,is.A2
naklonit'sa,1,1,1,0,0,0,0,1,0,1
naklonit'sa,1,1,1,0,0,0,0,1,0,1
naklonit'sa,1,1,0,0,0,1,0,1,0,1
naklonit'sa,1,0,0,0,0,1,0,1,0,1
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,0,0,0,1,0,0,0,1,0,0
naklonit'sa,0,0,0,0,0,1,0,1,0,1
naklonit'sa,1,1,1,0,0,0,0,1,0,1
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,0,1,0,0,0,1,0,1,0,1
naklonit'sa,0,0,0,0,0,1,0,1,0,0
naklonit'sa,0,0,0,1,0,0,0,1,0,0
naklonit'sa,1,1,1,0,0,0,0,1,0,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,0,0,1,0,0,0,0,1,0,0
naklonit'sa,0,0,1,0,0,0,0,1,0,0
naklonit'sa,1,1,1,0,0,0,0,1,1,1
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,1,1,1,0,0,0,0,1,1,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,0,0,0,0,0,1,0,1,0,0
naklonit'sa,1,0,0,1,0,0,0,1,0,1
naklonit'sa,1,0,0,0,0,1,0,1,0,1
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,1,1,1,0,0,0,0,1,1,1
naklonit'sa,1,0,0,0,0,1,0,1,0,1
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,1,1,1,0,0,0,0,1,0,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,1,1,1,0,0,0,0,1,1,1
naklonit'sa,1,0,0,0,0,1,0,1,0,1
naklonit'sa,0,0,0,0,0,1,0,1,0,0
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,1,0,0,0,0,1,0,1,1,1
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,1,1,1,0,0,0,0,1,1,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,1,1,1,0,0,0,0,1,0,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,0,1,1,0,0,0,0,1,0,1
naklonit'sa,1,0,0,0,0,1,0,1,1,1
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,1,1,1,0,0,0,0,1,0,1
naklonit'sa,0,0,0,0,0,1,0,1,0,0
naklonit'sa,0,0,0,0,0,1,0,1,0,0
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,1,0,0,0,0,1,0,1,0,1
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,0,1,1,0,0,0,0,1,0,1
naklonit'sa,1,1,1,0,0,0,0,1,0,1
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,1,1,1,0,0,0,0,1,1,1
naklonit'sa,0,0,0,0,0,1,0,1,0,0
naklonit'sa,1,1,1,0,0,0,0,1,0,1
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,0,0,0,1,0,0,0,1,0,0
naklonit'sa,1,1,1,0,0,0,0,1,1,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,1,1,1,0,0,0,0,1,0,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,1,1,1,0,0,0,0,1,1,1
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,1,1,1,0,0,0,0,1,1,1
naklonit'sa,1,0,0,0,0,1,0,1,1,1
naklonit'sa,0,0,1,0,0,0,0,1,0,0
naklonit'sa,0,0,1,0,0,0,0,1,0,1
naklonit'sa,0,0,0,0,0,1,0,1,0,0
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,0,0,0,0,0,1,0,1,0,0
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,1,1,1,0,0,0,0,1,1,1
naklonit'sa,0,0,1,0,0,0,0,1,0,0
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,0,0,0,0,0,0,1,1,0,0
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,1,1,1,0,0,0,0,1,1,1
naklonit'sa,0,0,0,0,1,0,0,0,0,0
naklonit'sa,0,0,0,0,0,1,0,1,0,0
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,0,0,0,0,0,1,0,1,0,0
naklonit'sa,0,0,0,0,0,1,0,0,0,0
naklonit'sa,1,1,1,0,0,0,0,1,1,1
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,0,0,0,1,0,0,0,1,0,0
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,1,0,0,0,0,1,0,1,1,1
naklonit'sa,0,0,1,0,0,0,0,1,0,1
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,0,1,1,0,0,0,0,0,0,0
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,1,0,0,0,0,1,0,1,1,1
naklonit'sa,0,0,0,0,0,1,0,1,0,1
naklonit'sa,0,0,1,0,0,0,0,1,0,0
naklonit'sa,0,0,0,0,0,1,0,1,0,0
naklonit'sa,1,0,0,0,0,1,0,1,0,1
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,1,0,0,0,0,0,1,1,0,1
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,0,1,0,0,0,0,1,1,0,0
naklonit'sa,1,0,0,0,0,1,0,1,1,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,0,0,0,0,0,1,0,1,0,1
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,0,0,0,0,0,1,0,1,0,0
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,0,0,0,0,0,1,0,1,0,0
naklonit'sa,0,0,0,1,0,0,0,1,0,0
naklonit'sa,1,1,1,0,0,0,0,1,0,1
naklonit'sa,0,0,1,0,0,0,0,0,0,1
naklonit'sa,1,0,1,0,0,0,0,1,0,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,1,0,0,0,0,1,0,1,0,1
naklonit'sa,1,0,0,0,0,1,0,1,1,1
naklonit'sa,0,0,1,0,0,0,0,1,0,0
naklonit'sa,1,1,1,0,0,0,0,1,1,1
naklonit'sa,1,1,1,0,0,0,0,1,0,1
naklonit'sa,1,0,0,0,0,1,0,1,1,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,0,0,1,0,0,0,0,1,0,0
naklonit'sa,0,0,1,0,0,0,0,1,0,0
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,1,0,0,0,0,1,0,1,1,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,1,0,0,0,1,0,0,1,0,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,0,0,0,0,0,1,0,1,0,1
naklonit'sa,0,0,1,0,0,0,0,1,0,0
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,0,1,0,1,0,0,0,1,0,0
naklonit'sa,0,0,0,0,0,1,0,1,0,0
naklonit'sa,1,1,1,0,0,0,0,1,1,1
naklonit'sa,1,1,1,0,0,0,0,1,1,1
naklonit'sa,1,1,0,0,0,1,0,1,1,1
naklonit'sa,1,0,1,0,0,0,0,1,1,1
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,0,1,1,0,0,0,0,1,0,0
naklonit'sa,1,0,0,0,0,1,0,1,0,1
naklonit'sa,1,1,1,0,0,0,0,1,0,1
naklonit'sa,1,1,1,0,0,0,0,1,1,1
nagnut'sa,1,0,1,0,0,0,0,1,1,1
nagnut'sa,1,1,1,0,0,0,0,1,1,1
nagnut'sa,0,0,1,0,0,0,0,1,0,0
nagnut'sa,1,0,1,0,0,0,0,1,0,1
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,1,1,1,0,0,0,0,1,0,1
nagnut'sa,0,0,0,0,0,0,1,1,0,0
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,1,1,1,0,0,0,0,1,0,1
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,0,1,0,0,0,1,0,1,0,1
nagnut'sa,1,0,1,0,0,0,0,1,1,1
nagnut'sa,1,0,1,0,0,0,0,1,0,1
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,0,1,0,0,0,0,1,0,0
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,0,1,0,1,0,0,0,1,0,0
nagnut'sa,1,0,1,0,0,0,0,1,1,1
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,0,1,0,0,0,1,0,0
nagnut'sa,0,0,0,1,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,0,1,0,0,0,1,0,0
nagnut'sa,1,0,0,0,0,1,0,1,0,1
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,1,0,1,0,0,0,0,1,0,1
nagnut'sa,0,0,0,1,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,0,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,0,0,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,1,0,1,0,0,0,0,1,0,1
nagnut'sa,1,1,1,0,0,0,0,1,0,1
nagnut'sa,1,1,1,0,0,0,0,1,0,1
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,1,0,1,0,0,0,0,1,1,1
nagnut'sa,1,0,1,0,0,0,0,1,1,1
nagnut'sa,0,1,1,0,0,0,0,1,0,1
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,1,0,1,0,0,0,0,1,0,1
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,1,0,1,0,0,0,0,1,1,1
nagnut'sa,0,0,0,1,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,1,0,1,0,0,0,0,1,0,1
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,1,0,1,0,0,0,0,1,1,1
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,1,0,1,0,0,0,0,1,0,1
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,1
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,0,0,1,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,0,0,0,0,1,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,1
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,0
nagnut'sa,0,1,1,0,0,0,0,1,0,1
nagnut'sa,0,0,0,0,0,1,0,1,0,1
